filename,animal_id,perc_cor_stop,perc_cor_gos,go_mt,stop_mt,st_er_mt,go_er_mt,perc_cor_stop_L,perc_cor_go_L,perc_cor_stop_R,perc_cor_go_R,first_light,go_lf_mt,go_rt_mt,st_lf_mt,stop_rt_mt,scrt_idx
dw01082415,dw01,0.681818182,0.807228916,0.365202114,0.547069583,0.339382143,0.426205319,0.7,0.818897638,0.657894737,0.801652893,0.331479464,0.343561779,0.388404124,0.591582143,0.484752,0.181867469
dw01082515,dw01,0.681818182,0.807228916,0.365202114,0.547069583,0.339382143,0.426205319,0.7,0.818897638,0.657894737,0.801652893,0.331479464,0.343561779,0.388404124,0.591582143,0.484752,0.181867469
dw01082515,dw01,0.681818182,0.807228916,0.365202114,0.547069583,0.339382143,0.426205319,0.7,0.818897638,0.657894737,0.801652893,0.331479464,0.343561779,0.388404124,0.591582143,0.484752,0.181867469
dw01082515,dw01,0.496402878,0.688571429,0.424503008,0.537499638,0.403135714,0.423754398,0.507462687,0.544186047,0.486111111,0.925373134,0.380979816,0.517176068,0.337061492,0.673549265,0.405337143,0.112996629
dw01082515,dw01,0.496402878,0.688571429,0.424503008,0.537499638,0.403135714,0.423754398,0.507462687,0.544186047,0.486111111,0.925373134,0.380979816,0.517176068,0.337061492,0.673549265,0.405337143,0.112996629
dw01082515,dw01,0.496402878,0.688571429,0.424503008,0.537499638,0.403135714,0.423754398,0.507462687,0.544186047,0.486111111,0.925373134,0.380979816,0.517176068,0.337061492,0.673549265,0.405337143,0.112996629
dw01082515,dw01,0.496402878,0.688571429,0.424503008,0.537499638,0.403135714,0.423754398,0.507462687,0.544186047,0.486111111,0.925373134,0.380979816,0.517176068,0.337061492,0.673549265,0.405337143,0.112996629
dw01082515,dw01,0.496402878,0.688571429,0.424503008,0.537499638,0.403135714,0.423754398,0.507462687,0.544186047,0.486111111,0.925373134,0.380979816,0.517176068,0.337061492,0.673549265,0.405337143,0.112996629
dw01082615,dw01,0.496402878,0.688571429,0.424503008,0.537499638,0.403135714,0.423754398,0.507462687,0.544186047,0.486111111,0.925373134,0.380979816,0.517176068,0.337061492,0.673549265,0.405337143,0.112996629
dw01082615,dw01,0.53164557,0.746411483,0.512639744,0.626730952,0.479633784,0.468729327,0.53125,0.618644068,0.531914894,0.922222222,0.424066376,0.575443493,0.457402711,0.707760294,0.571631,0.114091209
dw01082615,dw01,0.53164557,0.746411483,0.512639744,0.626730952,0.479633784,0.468729327,0.53125,0.618644068,0.531914894,0.922222222,0.424066376,0.575443493,0.457402711,0.707760294,0.571631,0.114091209
dw01082615,dw01,0.53164557,0.746411483,0.512639744,0.626730952,0.479633784,0.468729327,0.53125,0.618644068,0.531914894,0.922222222,0.424066376,0.575443493,0.457402711,0.707760294,0.571631,0.114091209
dw01082615,dw01,0.53164557,0.746411483,0.512639744,0.626730952,0.479633784,0.468729327,0.53125,0.618644068,0.531914894,0.922222222,0.424066376,0.575443493,0.457402711,0.707760294,0.571631,0.114091209
dw01082615,dw01,0.478991597,0.804794521,0.631295745,0.757913158,0.61296129,0.663457895,0.394736842,0.759493671,0.627906977,0.858208955,0.361760523,0.637842292,0.624464565,0.767349167,0.747428704,0.126617413
dw01082715,dw01,0.75,0.789808917,0.447826815,0.676525595,0.387066071,0.443669697,0.6,0.716049383,0.833333333,0.868421053,0.304989257,0.493211207,0.407943561,0.694189583,0.66946,0.228698781
dw01082715,dw01,0.75,0.789808917,0.447826815,0.676525595,0.387066071,0.443669697,0.6,0.716049383,0.833333333,0.868421053,0.304989257,0.493211207,0.407943561,0.694189583,0.66946,0.228698781
dw01083115,dw01,0.505376344,0.698113208,0.453879054,0.544948404,0.41981087,0.458966139,0.456521739,0.587096774,0.553191489,0.862385321,0.37327514,0.525825824,0.384228457,0.668460714,0.445188462,0.09106935
dw01083115,dw01,0.505376344,0.698113208,0.453879054,0.544948404,0.41981087,0.458966139,0.456521739,0.587096774,0.553191489,0.862385321,0.37327514,0.525825824,0.384228457,0.668460714,0.445188462,0.09106935
dw01083115,dw01,0.505376344,0.698113208,0.453879054,0.544948404,0.41981087,0.458966139,0.456521739,0.587096774,0.553191489,0.862385321,0.37327514,0.525825824,0.384228457,0.668460714,0.445188462,0.09106935
dw01083115,dw01,0.505376344,0.698113208,0.453879054,0.544948404,0.41981087,0.458966139,0.456521739,0.587096774,0.553191489,0.862385321,0.37327514,0.525825824,0.384228457,0.668460714,0.445188462,0.09106935
dw01083115,dw01,0.505376344,0.698113208,0.453879054,0.544948404,0.41981087,0.458966139,0.456521739,0.587096774,0.553191489,0.862385321,0.37327514,0.525825824,0.384228457,0.668460714,0.445188462,0.09106935
dw01083115,dw01,0.505376344,0.698113208,0.453879054,0.544948404,0.41981087,0.458966139,0.456521739,0.587096774,0.553191489,0.862385321,0.37327514,0.525825824,0.384228457,0.668460714,0.445188462,0.09106935
dw01090115,dw01,0.64516129,0.609053498,0.518789865,0.571883125,0.479815909,0.557731383,0.6,0.568345324,0.727272727,0.669902913,0.349849013,0.52303481,0.51392971,0.54510625,0.612048438,0.05309326
dw01090215,dw01,0.64516129,0.609053498,0.518789865,0.571883125,0.479815909,0.557731383,0.6,0.568345324,0.727272727,0.669902913,0.349849013,0.52303481,0.51392971,0.54510625,0.612048438,0.05309326
dw01090215,dw01,0.64516129,0.609053498,0.518789865,0.571883125,0.479815909,0.557731383,0.6,0.568345324,0.727272727,0.669902913,0.349849013,0.52303481,0.51392971,0.54510625,0.612048438,0.05309326
dw01090215,dw01,0.64516129,0.609053498,0.518789865,0.571883125,0.479815909,0.557731383,0.6,0.568345324,0.727272727,0.669902913,0.349849013,0.52303481,0.51392971,0.54510625,0.612048438,0.05309326
dw01090215,dw01,0.680412371,0.644385027,0.554060477,0.658595455,0.481269355,0.614361364,0.596153846,0.598984772,0.777777778,0.698863636,0.44218633,0.544975847,0.562775813,0.593147581,0.716563571,0.104534977
dw01090315,dw01,0.680412371,0.644385027,0.554060477,0.658595455,0.481269355,0.614361364,0.596153846,0.598984772,0.777777778,0.698863636,0.44218633,0.544975847,0.562775813,0.593147581,0.716563571,0.104534977
dw01090315,dw01,0.680412371,0.644385027,0.554060477,0.658595455,0.481269355,0.614361364,0.596153846,0.598984772,0.777777778,0.698863636,0.44218633,0.544975847,0.562775813,0.593147581,0.716563571,0.104534977
dw01090315,dw01,0.680412371,0.644385027,0.554060477,0.658595455,0.481269355,0.614361364,0.596153846,0.598984772,0.777777778,0.698863636,0.44218633,0.544975847,0.562775813,0.593147581,0.716563571,0.104534977
dw01090315,dw01,0.680412371,0.644385027,0.554060477,0.658595455,0.481269355,0.614361364,0.596153846,0.598984772,0.777777778,0.698863636,0.44218633,0.544975847,0.562775813,0.593147581,0.716563571,0.104534977
dw01090315,dw01,0.714285714,0.71957672,0.512536213,0.642204286,0.488489286,0.562737264,0.52173913,0.6,0.884615385,0.869047619,0.442789916,0.534318254,0.493738014,0.644697917,0.640903261,0.129668072
dw01090315,dw01,0.714285714,0.71957672,0.512536213,0.642204286,0.488489286,0.562737264,0.52173913,0.6,0.884615385,0.869047619,0.442789916,0.534318254,0.493738014,0.644697917,0.640903261,0.129668072
dw01090815,dw01,0.714285714,0.71957672,0.512536213,0.642204286,0.488489286,0.562737264,0.52173913,0.6,0.884615385,0.869047619,0.442789916,0.534318254,0.493738014,0.644697917,0.640903261,0.129668072
dw01090815,dw01,0.714285714,0.71957672,0.512536213,0.642204286,0.488489286,0.562737264,0.52173913,0.6,0.884615385,0.869047619,0.442789916,0.534318254,0.493738014,0.644697917,0.640903261,0.129668072
dw01090815,dw01,0.714285714,0.71957672,0.512536213,0.642204286,0.488489286,0.562737264,0.52173913,0.6,0.884615385,0.869047619,0.442789916,0.534318254,0.493738014,0.644697917,0.640903261,0.129668072
dw01090915,dw01,0.714285714,0.71957672,0.512536213,0.642204286,0.488489286,0.562737264,0.52173913,0.6,0.884615385,0.869047619,0.442789916,0.534318254,0.493738014,0.644697917,0.640903261,0.129668072
dw01090915,dw01,0.666666667,0.870192308,0.398032597,0.550320833,0.419411905,0.461526852,0.694444444,0.883495146,0.62962963,0.857142857,0.279098801,0.371942857,0.424412222,0.571504,0.519169118,0.152288237
dw01090915,dw01,0.72173913,0.702179177,0.455538448,0.611068976,0.364716406,0.541514583,0.714285714,0.612068966,0.728813559,0.831460674,0.352508714,0.483334859,0.428868919,0.6872325,0.540219186,0.155530528
dw01090915,dw01,0.72173913,0.702179177,0.455538448,0.611068976,0.364716406,0.541514583,0.714285714,0.612068966,0.728813559,0.831460674,0.352508714,0.483334859,0.428868919,0.6872325,0.540219186,0.155530528
dw01090915,dw01,0.863636364,0.723646724,0.52085374,0.657614474,0.526558333,0.56129768,0.90625,0.638743455,0.823529412,0.825,0.28793735,0.538842623,0.504227652,0.694435345,0.619478571,0.136760734
dw01090915,dw01,0.863636364,0.723646724,0.52085374,0.657614474,0.526558333,0.56129768,0.90625,0.638743455,0.823529412,0.825,0.28793735,0.538842623,0.504227652,0.694435345,0.619478571,0.136760734
dw01090915,dw01,0.863636364,0.723646724,0.52085374,0.657614474,0.526558333,0.56129768,0.90625,0.638743455,0.823529412,0.825,0.28793735,0.538842623,0.504227652,0.694435345,0.619478571,0.136760734
dw01091015,dw01,0.576271186,0.570731707,0.818989957,0.845648529,0.832061957,0.808863218,0.68,0.602272727,0.53125,0.551724138,0.446456897,0.784139623,0.847850391,0.836295588,0.855001471,0.026658572
dw01091015,dw01,0.617647059,0.535519126,0.953650765,0.892904762,0.855544231,1.02612381,0.5625,0.538461538,0.666666667,0.538461538,0.41330544,0.865722959,1.041578571,0.940466667,0.857233333,-0.060746003
dw01091115,dw01,0.666666667,0.724489796,0.753093662,0.835273295,0.763361364,0.837366358,0.583333333,0.732394366,0.766666667,0.717105263,0.371519931,0.839696875,0.670463073,0.895042857,0.780701087,0.082179633
dw01091115,dw01,0.666666667,0.724489796,0.753093662,0.835273295,0.763361364,0.837366358,0.583333333,0.732394366,0.766666667,0.717105263,0.371519931,0.839696875,0.670463073,0.895042857,0.780701087,0.082179633
dw01091115,dw01,0.666666667,0.724489796,0.753093662,0.835273295,0.763361364,0.837366358,0.583333333,0.732394366,0.766666667,0.717105263,0.371519931,0.839696875,0.670463073,0.895042857,0.780701087,0.082179633
dw01091515,dw01,0.666666667,0.724489796,0.753093662,0.835273295,0.763361364,0.837366358,0.583333333,0.732394366,0.766666667,0.717105263,0.371519931,0.839696875,0.670463073,0.895042857,0.780701087,0.082179633
dw01091515,dw01,0.666666667,0.724489796,0.753093662,0.835273295,0.763361364,0.837366358,0.583333333,0.732394366,0.766666667,0.717105263,0.371519931,0.839696875,0.670463073,0.895042857,0.780701087,0.082179633
dw01091515,dw01,0.666666667,0.7,0.834727619,0.919357955,0.786818182,0.901123295,0.833333333,0.753623188,0.571428571,0.6625,0.419980495,0.824098558,0.845156132,0.8969625,0.938020833,0.084630335
dw01091515,dw01,0.666666667,0.7,0.834727619,0.919357955,0.786818182,0.901123295,0.833333333,0.753623188,0.571428571,0.6625,0.419980495,0.824098558,0.845156132,0.8969625,0.938020833,0.084630335
dw01091615,dw01,0.666666667,0.7,0.834727619,0.919357955,0.786818182,0.901123295,0.833333333,0.753623188,0.571428571,0.6625,0.419980495,0.824098558,0.845156132,0.8969625,0.938020833,0.084630335
dw01091615,dw01,0.666666667,0.7,0.834727619,0.919357955,0.786818182,0.901123295,0.833333333,0.753623188,0.571428571,0.6625,0.419980495,0.824098558,0.845156132,0.8969625,0.938020833,0.084630335
