animal_id,trial_type,perc_cor,mt,er_mt
dw05,go,0.575079872,0.531483333,0.600273684
dw05,go,0.575079872,0.531483333,0.600273684
dw05,go,0.575079872,0.531483333,0.600273684
dw05,go,0.575079872,0.531483333,0.600273684
dw05,go,0.533936652,0.8651375,0.97949575
dw05,go,0.676282051,0.640800355,0.73026325
dw05,go,0.676282051,0.640800355,0.73026325
dw05,go,0.72173913,0.681701054,0.824555242
dw05,go,0.741258741,0.553543632,0.527095833
dw05,go,0.741258741,0.553543632,0.527095833
dw05,go,0.741258741,0.553543632,0.527095833
dw05,go,0.741258741,0.553543632,0.527095833
dw06,go,0.741258741,0.553543632,0.527095833
dw06,go,0.578125,0.583693356,0.653787107
dw06,go,0.578125,0.583693356,0.653787107
dw06,go,0.726443769,0.558739121,0.593847472
dw06,go,0.726443769,0.558739121,0.593847472
dw06,go,0.726443769,0.558739121,0.593847472
dw06,go,0.726443769,0.558739121,0.593847472
dw06,go,0.726443769,0.558739121,0.593847472
dw06,go,0.726443769,0.558739121,0.593847472
dw06,go,0.764044944,0.501851103,0.518244262
dw06,go,0.764044944,0.501851103,0.518244262
dw06,go,0.764044944,0.501851103,0.518244262
dw06,go,0.75974026,0.519575,0.561164527
dw06,go,0.75974026,0.519575,0.561164527
dw06,go,0.75974026,0.519575,0.561164527
dw06,go,0.75974026,0.519575,0.561164527
dw06,go,0.75974026,0.519575,0.561164527
dw06,go,0.75974026,0.519575,0.561164527
dw06,go,0.75974026,0.519575,0.561164527
dw06,go,0.75974026,0.519575,0.561164527
dw06,go,0.75974026,0.519575,0.561164527
dw06,go,0.75974026,0.519575,0.561164527
dw06,go,0.507246377,0.520993714,0.551633459
dw06,go,0.489655172,0.536448944,0.616687903
dw06,go,0.489655172,0.536448944,0.616687903
dw06,go,0.557939914,0.429430962,0.66294802
dw06,go,0.723684211,0.513439205,0.548367763
dw06,go,0.723684211,0.513439205,0.548367763
dw06,go,0.723684211,0.513439205,0.548367763
dw06,go,0.726495726,0.472748971,0.563932787
dw06,go,0.726495726,0.472748971,0.563932787
dw06,go,0.726495726,0.472748971,0.563932787
dw06,go,0.726495726,0.472748971,0.563932787
dw06,go,0.726495726,0.472748971,0.563932787
dw06,go,0.635483871,0.509422208,0.531363616
dw06,go,0.635483871,0.509422208,0.531363616
dw06,go,0.635483871,0.509422208,0.531363616
dw06,go,0.635483871,0.509422208,0.531363616
dw06,go,0.635483871,0.509422208,0.531363616
dw06,go,0.753303965,0.560414766,0.649400446
dw06,go,0.753303965,0.560414766,0.649400446
dw06,go,0.753303965,0.560414766,0.649400446
dw06,go,0.661721068,0.611259305,0.678204605
dw06,go,0.687315634,0.515879399,0.588924292
dw06,go,0.687315634,0.515879399,0.588924292
dw06,go,0.687315634,0.515879399,0.588924292
dw06,go,0.71641791,0.537632161,0.584463487
dw06,go,0.71641791,0.537632161,0.584463487
dw06,go,0.71641791,0.537632161,0.584463487
dw06,go,0.71641791,0.537632161,0.584463487
dw06,go,0.71641791,0.537632161,0.584463487
dw06,go,0.71641791,0.537632161,0.584463487
dw06,go,0.71641791,0.537632161,0.584463487
